DQN Training Log
Episode 1, Reward: -489.00, Loss: 2.0232, Epsilon: 0.995
Episode 2, Reward: -4817.00, Loss: 0.0602, Epsilon: 0.990
Episode 3, Reward: -1523.00, Loss: 0.0000, Epsilon: 0.985
Episode 4, Reward: -415.00, Loss: 0.0000, Epsilon: 0.980
Episode 5, Reward: -835.00, Loss: 0.0002, Epsilon: 0.975
Episode 6, Reward: -963.00, Loss: 0.0002, Epsilon: 0.970
Episode 7, Reward: -898.00, Loss: 0.0003, Epsilon: 0.966
Episode 8, Reward: -697.00, Loss: 0.0000, Epsilon: 0.961
Episode 9, Reward: -1287.00, Loss: 0.0009, Epsilon: 0.956
Episode 10, Reward: -2509.00, Loss: 0.0001, Epsilon: 0.951
Episode 11, Reward: -924.00, Loss: 0.0009, Epsilon: 0.946
Episode 12, Reward: -1117.00, Loss: 0.1257, Epsilon: 0.942
Episode 13, Reward: -1142.00, Loss: 0.0000, Epsilon: 0.937
Episode 14, Reward: -3346.00, Loss: 0.0000, Epsilon: 0.932
Episode 15, Reward: -1567.00, Loss: 0.0010, Epsilon: 0.928
Episode 16, Reward: -2586.00, Loss: 0.0005, Epsilon: 0.923
Episode 17, Reward: -213.00, Loss: 0.0003, Epsilon: 0.918
Episode 18, Reward: -928.00, Loss: 0.0008, Epsilon: 0.914
Episode 19, Reward: -416.00, Loss: 0.0002, Epsilon: 0.909
Episode 20, Reward: -1967.00, Loss: 0.0009, Epsilon: 0.905
Episode 21, Reward: -567.00, Loss: 0.0001, Epsilon: 0.900
Episode 22, Reward: -195.00, Loss: 0.3810, Epsilon: 0.896
Episode 23, Reward: -1118.00, Loss: 0.0083, Epsilon: 0.891
Episode 24, Reward: -909.00, Loss: 0.0000, Epsilon: 0.887
Episode 25, Reward: -186.00, Loss: 0.0000, Epsilon: 0.882
Episode 26, Reward: -1552.00, Loss: 0.0000, Epsilon: 0.878
Episode 27, Reward: -1726.00, Loss: 0.0000, Epsilon: 0.873
