Q-Learning Training Log
Iter 1, Loss: 2411.8676
Iter 2, Loss: 438.3975
Iter 3, Loss: 430.5542
Iter 4, Loss: 72.7437
Iter 5, Loss: 153.6557
Iter 6, Loss: 438.4729
Iter 7, Loss: 100.6950
Iter 8, Loss: 54.5676
Iter 9, Loss: 108.6078
Iter 10, Loss: 23.1526
Iter 11, Loss: 19.7146
Iter 12, Loss: 14.5845
Iter 13, Loss: 15.5557
Iter 14, Loss: 9.4383
Iter 15, Loss: 8.0216
Iter 16, Loss: 88.1080
Iter 17, Loss: 110.2331
Iter 18, Loss: 6.4568
Iter 19, Loss: 3.6721
Iter 20, Loss: 20.3499
Iter 21, Loss: 2.5693
Iter 22, Loss: 2.0999
Iter 23, Loss: 5.0405
Iter 24, Loss: 84.7482
Iter 25, Loss: 37.3582
Iter 26, Loss: 28.3058
Iter 27, Loss: 6.1111
Iter 28, Loss: 3.1115
Iter 29, Loss: 4.1962
Iter 30, Loss: 86.9698
Iter 31, Loss: 9.3116
Iter 32, Loss: 26.5982
Iter 33, Loss: 16.1824
Iter 34, Loss: 103.3890
Iter 35, Loss: 13.6420
Iter 36, Loss: 7.3944
Iter 37, Loss: 22.2085
Iter 38, Loss: 7.8149
Iter 39, Loss: 66.3694
Iter 40, Loss: 8.6488
Iter 41, Loss: 2.0456
Iter 42, Loss: 68.8309
Iter 43, Loss: 29.9745
Iter 44, Loss: 10.9207
Iter 45, Loss: 19.4251
Iter 46, Loss: 3.2193
Iter 47, Loss: 19.5575
Iter 48, Loss: 1.0758
Iter 49, Loss: 137.1188
Iter 50, Loss: 11.6765
Iter 51, Loss: 11.1777
Iter 52, Loss: 9.4323
Iter 53, Loss: 3.9448
Iter 54, Loss: 2.3147
Iter 55, Loss: 7.5705
Iter 56, Loss: 0.9265
Iter 57, Loss: 31.8423
Iter 58, Loss: 1.4856
Iter 59, Loss: 99.8285
Iter 60, Loss: 11.7643
Iter 61, Loss: 24.2725
Iter 62, Loss: 8.6203
Iter 63, Loss: 0.5790
Iter 64, Loss: 19.5546
Iter 65, Loss: 1.6917
Iter 66, Loss: 1.1867
Iter 67, Loss: 3.3334
Iter 68, Loss: 1.7919
Iter 69, Loss: 3.7736
Iter 70, Loss: 25.5006
Iter 71, Loss: 0.5958
Iter 72, Loss: 36.8056
Iter 73, Loss: 35.3904
Iter 74, Loss: 28.0705
Iter 75, Loss: 143.8201
Iter 76, Loss: 7.5134
Iter 77, Loss: 3.5381
Iter 78, Loss: 1.7446
Iter 79, Loss: 5.3913
Iter 80, Loss: 2.0300
Iter 81, Loss: 2.6439
Iter 82, Loss: 1.1157
Iter 83, Loss: 46.2152
Iter 84, Loss: 25.6066
Iter 85, Loss: 5.9123
Iter 86, Loss: 7.2404
Iter 87, Loss: 18.1153
Iter 88, Loss: 4.2372
Iter 89, Loss: 2.2789
Iter 90, Loss: 1.0226
Iter 91, Loss: 0.9040
Iter 92, Loss: 0.6085
Iter 93, Loss: 0.8654
Iter 94, Loss: 15.4633
Iter 95, Loss: 1.2778
Iter 96, Loss: 19.6625
Iter 97, Loss: 38.5131
Iter 98, Loss: 68.9695
Iter 99, Loss: 21.0209
Iter 100, Loss: 12.5312
