REINFORCE Training Log
Episode 1, Reward: -1343.00, Loss: -21168.1406
Episode 2, Reward: -667.00, Loss: -10213.9463
Episode 3, Reward: -1368.00, Loss: -21442.9531
Episode 4, Reward: -922.00, Loss: -14602.1895
Episode 5, Reward: -1364.00, Loss: -21534.0625
Episode 6, Reward: -580.00, Loss: -8857.3115
Episode 7, Reward: -5834.00, Loss: -93399.0859
Episode 8, Reward: -883.00, Loss: -13749.8594
Episode 9, Reward: -1751.00, Loss: -27752.5938
Episode 10, Reward: -2679.00, Loss: -42711.6875
Episode 11, Reward: -650.00, Loss: -10110.2676
Episode 12, Reward: -556.00, Loss: -8522.0859
Episode 13, Reward: -1152.00, Loss: -18151.5352
Episode 14, Reward: -6724.00, Loss: -107814.7656
Episode 15, Reward: -397.00, Loss: -6105.5117
Episode 16, Reward: -1201.00, Loss: -18859.2773
Episode 17, Reward: -924.00, Loss: -14402.7969
Episode 18, Reward: -1816.00, Loss: -28942.8535
Episode 19, Reward: -867.00, Loss: -13331.8330
Episode 20, Reward: -873.00, Loss: -13658.4707
Episode 21, Reward: -811.00, Loss: -12620.8418
Episode 22, Reward: -2027.00, Loss: -32245.8691
Episode 23, Reward: -193.00, Loss: -2680.2642
Episode 24, Reward: -702.00, Loss: -10862.5801
Episode 25, Reward: -576.00, Loss: -8962.8359
Episode 26, Reward: -387.00, Loss: -5807.8345
Episode 27, Reward: -422.00, Loss: -6287.7559
Episode 28, Reward: -497.00, Loss: -7488.5762
Episode 29, Reward: -2226.00, Loss: -35554.9531
Episode 30, Reward: -215.00, Loss: -3077.6082
Episode 31, Reward: -1066.00, Loss: -16864.1641
Episode 32, Reward: -621.00, Loss: -9502.4414
Episode 33, Reward: -551.00, Loss: -8443.8125
Episode 34, Reward: -297.00, Loss: -4259.3682
Episode 35, Reward: -1786.00, Loss: -28468.1211
Episode 36, Reward: -2508.00, Loss: -39764.4492
Episode 37, Reward: -939.00, Loss: -14647.6465
Episode 38, Reward: -174.00, Loss: -2344.1616
Episode 39, Reward: -783.00, Loss: -12181.2725
Episode 40, Reward: -927.00, Loss: -14511.7725
Episode 41, Reward: -1575.00, Loss: -24825.2637
Episode 42, Reward: -6348.00, Loss: -101653.9531
Episode 43, Reward: -2970.00, Loss: -47105.8984
Episode 44, Reward: -1860.00, Loss: -29578.6719
