Sarsa Training Log
Iter 1, Loss: 2608.6824
Iter 2, Loss: 1964.0953
Iter 3, Loss: 1735.5111
Iter 4, Loss: 2060.6663
Iter 5, Loss: 88.4698
Iter 6, Loss: 201.3299
Iter 7, Loss: 30.5652
Iter 8, Loss: 415.4674
Iter 9, Loss: 83.6470
Iter 10, Loss: 179.7742
Iter 11, Loss: 16.9369
Iter 12, Loss: 50.9575
Iter 13, Loss: 38.7779
Iter 14, Loss: 72.0427
Iter 15, Loss: 84.8724
Iter 16, Loss: 488.8570
Iter 17, Loss: 147.8399
Iter 18, Loss: 343.4389
Iter 19, Loss: 33.0456
Iter 20, Loss: 160.6667
Iter 21, Loss: 15.9814
Iter 22, Loss: 10.6067
Iter 23, Loss: 63.9638
Iter 24, Loss: 13.2433
Iter 25, Loss: 91.5773
Iter 26, Loss: 247.2759
Iter 27, Loss: 123.4560
Iter 28, Loss: 60.6272
Iter 29, Loss: 20.0250
Iter 30, Loss: 111.8718
Iter 31, Loss: 17.8452
Iter 32, Loss: 381.4352
Iter 33, Loss: 125.1130
Iter 34, Loss: 62.8385
Iter 35, Loss: 194.8971
Iter 36, Loss: 20.9079
Iter 37, Loss: 7.2486
Iter 38, Loss: 12.2895
Iter 39, Loss: 358.0716
Iter 40, Loss: 199.3393
Iter 41, Loss: 174.7084
Iter 42, Loss: 323.2240
Iter 43, Loss: 51.7847
Iter 44, Loss: 37.2932
Iter 45, Loss: 101.7047
Iter 46, Loss: 304.6923
Iter 47, Loss: 62.7000
Iter 48, Loss: 26.7905
Iter 49, Loss: 28.8935
Iter 50, Loss: 11.1087
Iter 51, Loss: 74.2068
Iter 52, Loss: 33.6108
Iter 53, Loss: 44.6720
Iter 54, Loss: 19.9493
Iter 55, Loss: 112.7477
Iter 56, Loss: 216.6322
Iter 57, Loss: 123.9435
Iter 58, Loss: 64.9027
Iter 59, Loss: 19.9733
Iter 60, Loss: 15.6837
Iter 61, Loss: 19.2787
Iter 62, Loss: 24.0425
Iter 63, Loss: 10.8338
Iter 64, Loss: 29.0324
Iter 65, Loss: 18.1420
Iter 66, Loss: 189.9996
Iter 67, Loss: 175.4886
Iter 68, Loss: 139.4366
Iter 69, Loss: 49.8498
Iter 70, Loss: 5.9758
Iter 71, Loss: 307.2121
Iter 72, Loss: 242.8343
Iter 73, Loss: 33.3461
Iter 74, Loss: 130.0793
Iter 75, Loss: 12.3197
Iter 76, Loss: 19.7697
Iter 77, Loss: 9.8340
Iter 78, Loss: 61.4033
Iter 79, Loss: 5.1744
Iter 80, Loss: 3.6669
Iter 81, Loss: 2.3908
Iter 82, Loss: 7.3472
Iter 83, Loss: 2.8338
Iter 84, Loss: 34.8271
Iter 85, Loss: 129.2560
Iter 86, Loss: 95.9072
Iter 87, Loss: 71.9018
Iter 88, Loss: 158.3824
Iter 89, Loss: 139.2880
Iter 90, Loss: 16.0047
Iter 91, Loss: 237.1497
Iter 92, Loss: 7.9276
Iter 93, Loss: 22.0653
Iter 94, Loss: 67.5463
Iter 95, Loss: 24.7766
Iter 96, Loss: 29.6922
Iter 97, Loss: 159.2555
Iter 98, Loss: 50.0796
Iter 99, Loss: 12.2294
Iter 100, Loss: 114.1547
